arm,role,old_id,camera,object,old_dates,new_id,filter,filter_source,basis
v17-train,train,2025-12-17 Rosette + Carina Nebula/2025-12-17/Rosette Nebula|SVBONY SV605CC|Rosette Nebula,SVBONY SV605CC,Rosette Nebula,2025-12-17 2025-12-17,SVBONY-SV605CC/Optolong-L-Quad-Enhance/Rosette-Nebula/2025-12-17|SVBONY SV605CC|Rosette Nebula|Optolong L-Quad Enhance,Optolong L-Quad Enhance,organized-bake,exact
v17-train,train,2026-02-10|ZWO ASI533MC Pro|HD 71526,ZWO ASI533MC Pro,HD 71526,2026-02-10,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-71526/2026-02-10|ZWO ASI533MC Pro|HD 71526|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-01-20|ZWO ASI533MC Pro|HD 71272,ZWO ASI533MC Pro,HD 71272,2026-01-20,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-258924/2026-01-20|ZWO ASI533MC Pro|HD 71272|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-12-17 Orion + Vela SNR/2025-12-17 M42 LIGHT|ZWO ASI533MC Pro|Great Orion Nebula,ZWO ASI533MC Pro,Great Orion Nebula,2025-12-17 2025-12-17,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Great-Orion-Nebula/2025-12-17|ZWO ASI533MC Pro|Great Orion Nebula|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,Eta Car 24mm LeHance 60s -10d/2025-01-14|ZWO ASI585MC Pro|Eta Car 24mm LeHance 60s -10d,ZWO ASI585MC Pro,Eta Car 24mm LeHance 60s -10d,2025-01-14,,,UNRESOLVED,unmatched
v17-train,train,2026-02-18|ZWO ASI533MC Pro|HD 77550,ZWO ASI533MC Pro,HD 77550,2026-02-18,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-77683/2026-02-18|ZWO ASI533MC Pro|HD 77550|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-08-09/Helix Nebula/2025-08-09|ZWO ASI585MC Pro|Helix Nebula,ZWO ASI585MC Pro,Helix Nebula,2025-08-09 2025-08-09,,,UNRESOLVED,unmatched
v17-train,train,2026-01-05/Panel 5|ZWO ASI533MC Pro|HD 74167,ZWO ASI533MC Pro,HD 74167,2026-01-05,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-74167/2026-01-05|ZWO ASI533MC Pro|HD 74167|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-10/Tarantula Nebula/Ha-OIII|SVBONY SV605CC|Tarantula Nebula,SVBONY SV605CC,Tarantula Nebula,,,Optolong L-Ultimate 3nm,provenance-verdict,ambiguous
v17-train,train,2026-01-23|ZWO ASI533MC Pro|RCW 27,ZWO ASI533MC Pro,RCW 27,2026-01-23,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Vela-SNR/2026-01-23|ZWO ASI533MC Pro|RCW 27|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-01-18/Panel 11|ZWO ASI533MC Pro|HD 71216,ZWO ASI533MC Pro,HD 71216,2026-01-18,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-71216/2026-01-18|ZWO ASI533MC Pro|HD 71216|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-10/Orion/RGB|SVBONY SV605CC|Great Orion Nebula,SVBONY SV605CC,Great Orion Nebula,,,Optolong L-Quad Enhance,provenance-verdict,ambiguous
v17-train,train,2025-12-17 Rosette + Carina Nebula/2025-12-17/Carina Nebula|SVBONY SV605CC|eta Car Nebula,SVBONY SV605CC,eta Car Nebula,2025-12-17 2025-12-17,SVBONY-SV605CC/Optolong-L-Quad-Enhance/eta-Car-Nebula/2025-12-17|SVBONY SV605CC|eta Car Nebula|Optolong L-Quad Enhance,Optolong L-Quad Enhance,organized-bake,exact
v17-train,train,2026-02-16|ZWO ASI533MC Pro|HD 75426,ZWO ASI533MC Pro,HD 75426,2026-02-16,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-75426/2026-02-16|ZWO ASI533MC Pro|HD 75426|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-01-23|ZWO ASI533MC Pro|Vela SNR,ZWO ASI533MC Pro,Vela SNR,2026-01-23,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Vela-SNR/2026-01-23|ZWO ASI533MC Pro|Vela SNR|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-01-05/Panel 6|ZWO ASI533MC Pro|HD 76358,ZWO ASI533MC Pro,HD 76358,2026-01-05,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-76358/2026-01-05|ZWO ASI533MC Pro|HD 76358|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-10/Tarantula Nebula/RGB|SVBONY SV605CC|Tarantula Nebula,SVBONY SV605CC,Tarantula Nebula,,,Optolong L-Quad Enhance,provenance-verdict,ambiguous
v17-train,train,2026-01-06|ZWO ASI533MC Pro|HD 74167,ZWO ASI533MC Pro,HD 74167,2026-01-06,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-74167/2026-01-06|ZWO ASI533MC Pro|HD 74167|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-10/2025-10-28|SVBONY SV605CC|Pleiades,SVBONY SV605CC,Pleiades,2025-10-28,SVBONY-SV605CC/Optolong-L-Quad-Enhance/Pleiades/2025-10-28|SVBONY SV605CC|Pleiades|Optolong L-Quad Enhance,Optolong L-Quad Enhance,organized-bake,exact
v17-train,train,2025-12-27/Christmas Cluster-LIGHT|ZWO ASI533MC Pro|Christmas Tree Cluster,ZWO ASI533MC Pro,Christmas Tree Cluster,2025-12-27,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Christmas-Tree-Cluster/2025-12-27|ZWO ASI533MC Pro|Christmas Tree Cluster|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-01-23|ZWO ASI533MC Pro|HD 71272,ZWO ASI533MC Pro,HD 71272,2026-01-23,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Vela-SNR/2026-01-23|ZWO ASI533MC Pro|HD 71272|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-02-14|ZWO ASI533MC Pro|HD 71526,ZWO ASI533MC Pro,HD 71526,2026-02-14,,,UNRESOLVED,unmatched-date
v17-train,train,Vela SNR P2a 240s L-Ultra -10d/2025-01-18|ZWO ASI533MC Pro|Vela SNR P2a 240s L-Ultra -10d,ZWO ASI533MC Pro,Vela SNR P2a 240s L-Ultra -10d,2025-01-18,,,UNRESOLVED,unmatched
v17-train,train,2026-01-11|ZWO ASI533MC Pro|HD 72800,ZWO ASI533MC Pro,HD 72800,2026-01-11,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-72800/2026-01-11|ZWO ASI533MC Pro|HD 72800|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-12-27 Panel 2 f3.2/Panel 2_RCW32_08 43 54_-41 14 32_LIGHT|ZWO ASI533MC Pro|RCW 32,ZWO ASI533MC Pro,RCW 32,2025-12-27,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/RCW-32/2025-12-27|ZWO ASI533MC Pro|RCW 32|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-02-20 P15 HD 70414 1|ZWO ASI533MC Pro|HD 70414,ZWO ASI533MC Pro,HD 70414,2026-02-20,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-70414/2026-02-20|ZWO ASI533MC Pro|HD 70414|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-02-21 Great Carina Neb HO|ZWO ASI533MC Pro|eta Car Nebula,ZWO ASI533MC Pro,eta Car Nebula,2026-02-21,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/eta-Car-Nebula/2026-02-20|ZWO ASI533MC Pro|eta Car Nebula|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,off-by-one
v17-train,train,2025-12-17 Panel 1 f3.2/Panel 1_Vela SNR_08 44 25_-42 44 24_LIGHT|ZWO ASI533MC Pro|Vela SNR,ZWO ASI533MC Pro,Vela SNR,2025-12-17,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Vela-SNR/2025-12-17|ZWO ASI533MC Pro|Vela SNR|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-02-14|ZWO ASI533MC Pro|HIP 40810,ZWO ASI533MC Pro,HIP 40810,2026-02-14,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HIP-40810/2026-02-14|ZWO ASI533MC Pro|HIP 40810|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-08-20 - Helix Nebula|SVBONY SV605CC|Helix Nebula,SVBONY SV605CC,Helix Nebula,2025-08-20,SVBONY-SV605CC/Optolong-L-Ultimate-3nm/Helix-Nebula/2025-08-20|SVBONY SV605CC|Helix Nebula|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-03-20/24mm ASI585 30s 13o 252g 65r 65b S1/2025-03-19|ZWO ASI585MC Pro|24mm ASI585 30s 13o 252g 65r 65b,ZWO ASI585MC Pro,24mm ASI585 30s 13o 252g 65r 65b,2025-03-20 2025-03-19,,,UNRESOLVED,unmatched
v17-train,train,Seagull Nebula/2025-01-03|ZWO ASI533MC Pro|Seagull Nebula,ZWO ASI533MC Pro,Seagull Nebula,2025-01-03,,,UNRESOLVED,unmatched
v17-train,train,2026-01-01|ZWO ASI533MC Pro|HD 71181,ZWO ASI533MC Pro,HD 71181,2026-01-01,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-71181/2026-01-01|ZWO ASI533MC Pro|HD 71181|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-02 Rim Nebula Project/2026-02-21 Rim Nebula HO|ZWO ASI533MC Pro|Rim Nebula,ZWO ASI533MC Pro,Rim Nebula,2026-02-21,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Rim-Nebula/2026-02-20|ZWO ASI533MC Pro|Rim Nebula|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,off-by-one
v17-train,train,2025-12-28/Segaull+Thors_Helmet|ZWO ASI533MC Pro|HIP 34710,ZWO ASI533MC Pro,HIP 34710,2025-12-28,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HIP-34710/2025-12-28|ZWO ASI533MC Pro|HIP 34710|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-02-16|ZWO ASI533MC Pro|HD 77850,ZWO ASI533MC Pro,HD 77850,2026-02-16,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-75426/2026-02-16|ZWO ASI533MC Pro|HD 77850|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-10/2025-10-28|SVBONY SV605CC|Triangulum Galaxy,SVBONY SV605CC,Triangulum Galaxy,2025-10-28,SVBONY-SV605CC/Optolong-L-Quad-Enhance/Pleiades/2025-10-28|SVBONY SV605CC|Triangulum Galaxy|Optolong L-Quad Enhance,Optolong L-Quad Enhance,organized-bake,exact
v17-train,train,2026-01-18/Orion+HH|ZWO ASI533MC Pro|V1045 Ori,ZWO ASI533MC Pro,V1045 Ori,2026-01-18,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/V1045-Ori/2026-01-18|ZWO ASI533MC Pro|V1045 Ori|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-02-14 Statue of Liberty Nebula/2026-02-14|SVBONY SV605CC|Statue of Liberty Nebula,SVBONY SV605CC,Statue of Liberty Nebula,2026-02-14 2026-02-14,SVBONY-SV605CC/Optolong-L-Quad-Enhance/Statue-of-Liberty-Nebula/2026-02-14|SVBONY SV605CC|Statue of Liberty Nebula|Optolong L-Quad Enhance,Optolong L-Quad Enhance,organized-bake,exact
v17-train,train,2026-01-20|ZWO ASI533MC Pro|HD 258924,ZWO ASI533MC Pro,HD 258924,2026-01-20,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-258924/2026-01-20|ZWO ASI533MC Pro|HD 258924|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-01-06|ZWO ASI533MC Pro|HD 76304,ZWO ASI533MC Pro,HD 76304,2026-01-06,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-74167/2026-01-06|ZWO ASI533MC Pro|HD 76304|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-04-22 Rho Oph|ZWO ASI533MC Pro|HIP 80609,ZWO ASI533MC Pro,HIP 80609,2026-04-22,ZWO-ASI533MC-Pro/Optolong-L-Quad-Enhance/HIP-80609/2026-04-21|ZWO ASI533MC Pro|HIP 80609|Optolong L-Quad Enhance,Optolong L-Quad Enhance,organized-bake,off-by-one
v17-train,train,2025-10/C2025_R2_SWAN/2025-10-18/RGB|SVBONY SV605CC|C/2025 R2 (SWAN),SVBONY SV605CC,C/2025 R2 (SWAN),2025-10-18,SVBONY-SV605CC/Optolong-L-Quad-Enhance/C-2025-R2-SWAN/2025-10-18|SVBONY SV605CC|C/2025 R2 (SWAN)|Optolong L-Quad Enhance,Optolong L-Quad Enhance,organized-bake,exact
v17-train,train,2026-02-16|ZWO ASI533MC Pro|HD 77566,ZWO ASI533MC Pro,HD 77566,2026-02-16,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-75426/2026-02-16|ZWO ASI533MC Pro|HD 77566|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-03-20/24mm ASI585 30s 13o 252g 65r 65b S2/2025-03-19|ZWO ASI585MC Pro|24mm ASI585 30s 13o 252g 65r 65b S2,ZWO ASI585MC Pro,24mm ASI585 30s 13o 252g 65r 65b S2,2025-03-20 2025-03-19,,,UNRESOLVED,unmatched
v17-train,train,2025-03-20/24mm ASI585 30s 13o 252g 65r 65b S3/2025-03-19|ZWO ASI585MC Pro|24mm ASI585 30s 13o 252g 65r 65b S3,ZWO ASI585MC Pro,24mm ASI585 30s 13o 252g 65r 65b S3,2025-03-20 2025-03-19,,,UNRESOLVED,unmatched
v17-train,train,2026-01-01|ZWO ASI533MC Pro|COO 71,ZWO ASI533MC Pro,COO 71,2026-01-01,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-71181/2026-01-01|ZWO ASI533MC Pro|COO 71|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-01-18/Running Chicken|ZWO ASI533MC Pro|Running Chicken Nebula,ZWO ASI533MC Pro,Running Chicken Nebula,2026-01-18,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Running-Chicken-Nebula/2026-01-18|ZWO ASI533MC Pro|Running Chicken Nebula|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-05-10 - Lobster nebula|ZWO ASI533MC Pro|Lobster Nebula,ZWO ASI533MC Pro,Lobster Nebula,2025-05-10,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Lobster-Nebula/2025-05-09|ZWO ASI533MC Pro|Lobster Nebula|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,off-by-one
v17-train,train,2026-01-11|ZWO ASI533MC Pro|HD 76360,ZWO ASI533MC Pro,HD 76360,2026-01-11,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-72800/2026-01-11|ZWO ASI533MC Pro|HD 76360|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-02-20 P15 HD 70414 2|ZWO ASI533MC Pro|HD 70414,ZWO ASI533MC Pro,HD 70414,2026-02-20,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HD-70414/2026-02-20|ZWO ASI533MC Pro|HD 70414|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2026-02 Rim Nebula Project/2026-02-16 Rim Nebula HO|ZWO ASI533MC Pro|Rim Nebula,ZWO ASI533MC Pro,Rim Nebula,2026-02-16,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Rim-Nebula/2026-02-16|ZWO ASI533MC Pro|Rim Nebula|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,2025-05-20 - Lobster Nebula|ZWO ASI533MC Pro|HIP 85088,ZWO ASI533MC Pro,HIP 85088,2025-05-20,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/HIP-85088/2025-05-20|ZWO ASI533MC Pro|HIP 85088|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,train,Vela SNR 60s 6deg/2025-01-30|ZWO ASI585MC Pro|Vela SNR 60s 6deg,ZWO ASI585MC Pro,Vela SNR 60s 6deg,2025-01-30,,,UNRESOLVED,unmatched
v17-train,train,2025-05-25 - Rim Nebula|ZWO ASI585MC Pro|Rim Nebula,ZWO ASI585MC Pro,Rim Nebula,2025-05-25,,,UNRESOLVED,unmatched
v17-train,train,eta Car 4min -10deg OIII+Ha/2025-01-31|ZWO ASI533MC Pro|eta Car 4min -10deg OIII+Ha,ZWO ASI533MC Pro,eta Car 4min -10deg OIII+Ha,2025-01-31,,,UNRESOLVED,unmatched
v17-train,train,2025-10/Orion/Ha-OIII|SVBONY SV605CC|Great Orion Nebula,SVBONY SV605CC,Great Orion Nebula,,,Optolong L-Ultimate 3nm,provenance-verdict,ambiguous
v17-train,val,2025-10/Tarantula Nebula/2025-11-01|SVBONY SV605CC|Tarantula Nebula,SVBONY SV605CC,Tarantula Nebula,2025-11-01,SVBONY-SV605CC/Optolong-L-Ultimate-3nm/Tarantula-Nebula/2025-11-01|SVBONY SV605CC|Tarantula Nebula|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
v17-train,val,2025-05-02 - RIM 135mm f2.8 ASI533mc HaOIII|ZWO ASI533MC Pro|Rim Nebula,ZWO ASI533MC Pro,Rim Nebula,2025-05-02,ZWO-ASI533MC-Pro/Optolong-L-Ultimate-3nm/Rim-Nebula/2025-05-02|ZWO ASI533MC Pro|Rim Nebula|Optolong L-Ultimate 3nm,Optolong L-Ultimate 3nm,organized-bake,exact
